Animal,Pair,Training order,Testing order,Food,Training time (s),Testing time (s)
1,1,1,1,Nori,973,1124
2,1,2,2,Nori,792,1198
3,2,1,1,Nori,2044,1127
4,2,2,2,Nori,440,1926
5,3,1,-1,Nori,4382,
6,3,2,-1,Nori,1383,
7,4,1,2,Nori,1588,403
8,4,2,1,Nori,1095,1428
9,5,1,2,Dulse,570,1188
10,5,2,1,Dulse,445,522
11,6,1,2,Dulse,739,927
12,6,2,1,Dulse,708,976
13,7,1,1,Ulva,612,403
14,7,2,2,Ulva,218,195
15,8,1,1,Ulva,862,879
16,8,2,2,Ulva,328,295
17,9,1,1,Ulva,871,402
18,9,2,2,Ulva,393,283
19,10,1,2,Ulva,597,423
20,10,2,1,Ulva,424,443
